"","nGrams","Freq"
"1","the",746194
"2","to",443793
"3","and",415464
"4","a",383251
"5","of",358952
"6","in",261538
"7","I",240395
"8","that",175387
"9","is",164716
"10","for",158318
"11","it",125340
"12","on",120369
"13","with",116787
"14","was",111778
"15","you",97531
"16","The",95131
"17","be",82710
"18","have",82596
"19","at",82522
"20","as",80992
"21","are",75529
"22","my",71050
"23","this",70282
"24","from",64437
"25","not",61482
"26","he",59606
"27","said",58010
"28","but",57960
"29","by",53503
"30","his",52676
"31","or",52010
"32","s",50251
"33","an",49301
"34","will",48931
"35","we",48483
"36","has",46245
"37","about",46133
"38","they",46116
"39","all",45258
"40","me",43262
"41","out",42712
"42","up",42219
"43","one",42040
"44","had",41522
"45","who",41442
"46","so",41052
"47","more",38848
"48","can",38664
"49","her",37406
"50","their",36923
"51","like",35215
"52","just",34892
"53","would",34077
"54","your",33337
"55","when",33319
"56","were",32682
"57","what",32239
"58","been",32075
"59","time",32025
"60","do",30669
"61","It",30170
"62","some",29020
"63","get",27942
"64","them",27825
"65","she",27716
"66","which",27550
"67","there",27513
"68","if",27272
"69","our",26984
"70","t",24655
"71","into",24336
"72","than",23653
"73","people",23366
"74","also",22833
"75","But",22831
"76","He",22773
"77","other",22584
"78","no",21495
"79","We",21117
"80","know",21083
"81","first",20787
"82","over",20345
"83","how",20253
"84","him",20125
"85","And",20105
"86","new",19851
"87","because",19521
"88","two",19365
"89","back",19105
"90","now",19079
"91","A",19066
"92","only",19029
"93","make",18907
"94","its",18883
"95","good",18852
"96","In",18829
"97","could",18671
"98","year",18570
"99","after",18531
"100","This",18029
"101","last",17653
"102","day",17618
"103","think",17295
"104","much",17294
"105","see",17210
"106","then",17043
"107","years",17028
"108","going",16967
"109","way",16924
"110","go",16151
"111","really",15810
"112","even",15808
"113","us",15717
"114","very",15154
"115","m",15006
"116","work",14862
"117","where",14818
"118","most",14641
"119","want",14581
"120","before",14454
"121","made",14231
"122","off",14175
"123","too",14103
"124","love",14065
"125","any",14034
"126","did",13999
"127","many",13968
"128","If",13848
"129","down",13783
"130","still",13738
"131","through",13733
"132","those",13730
"133","little",13729
"134","You",13504
"135","well",13428
"136","being",13418
"137","right",13178
"138","say",12965
"139","am",12920
"140","got",12818
"141","So",12719
"142","here",12580
"143","take",12562
"144","these",12265
"145","They",12205
"146","life",12178
"147","home",12084
"148","things",11775
"149","need",11703
"150","great",11434
"151","should",11415
"152","around",11382
"153","something",10965
"154","while",10896
"155","never",10856
"156","week",10825
"157","few",10373
"158","She",10241
"159","next",10132
"160","three",9931
"161","come",9902
"162","may",9851
"163","another",9766
"164","such",9679
"165","own",9500
"166","today",9436
"167","best",9261
"168","There",9245
"169","every",9185
"170","That",9157
"171","same",9156
"172","long",9105
"173","My",9097
"174","school",9072
"175","When",8948
"176","New",8944
"177","lot",8933
"178","always",8914
"179","says",8873
"180","each",8836
"181","What",8774
"182","since",8770
"183","look",8769
"184","state",8691
"185","better",8676
"186","find",8547
"187","use",8543
"188","world",8542
"189","As",8531
"190","night",8512
"191","game",8496
"192","again",8393
"193","part",8326
"194","until",8198
"195","help",8169
"196","thing",8168
"197","place",8140
"198","used",8129
"199","both",8111
"200","feel",8093
"201","family",8070
"202","For",7969
"203","days",7883
"204","put",7874
"205","end",7671
"206","i",7658
"207","show",7641
"208","sure",7498
"209","might",7494
"210","away",7480
"211","against",7452
"212","went",7428
"213","found",7417
"214","S",7415
"215","percent",7326
"216","man",7315
"217","million",7300
"218","No",7222
"219","team",7212
"220","though",7180
"221","book",7178
"222","left",7163
"223","between",7148
"224","does",7113
"225","told",7099
"226","big",7095
"227","came",7079
"228","during",7014
"229","thought",7006
"230","why",6875
"231","season",6858
"232","give",6850
"233","enough",6815
"234","without",6805
"235","keep",6718
"236","play",6689
"237","doing",6616
"238","took",6611
"239","U",6606
"240","ever",6535
"241","old",6488
"242","set",6482
"243","different",6453
"244","don",6452
"245","getting",6443
"246","called",6344
"247","money",6321
"248","start",6316
"249","done",6130
"250","making",6077
"251","second",6067
"252","God",6057
"253","times",5960
"254","point",5952
"255","story",5937
"256","city",5935
"257","children",5889
"258","having",5790
"259","including",5783
"260","under",5783
"261","least",5776
"262","high",5770
"263","bit",5749
"264","read",5710
"265","already",5680
"266","hard",5672
"267","One",5632
"268","let",5630
"269","started",5627
"270","friends",5601
"271","looking",5598
"272","house",5558
"273","public",5546
"274","top",5513
"275","must",5511
"276","ago",5510
"277","four",5498
"278","ve",5493
"279","past",5459
"280","wanted",5449
"281","far",5445
"282","job",5439
"283","run",5413
"284","together",5407
"285","p",5393
"286","able",5320
"287","actually",5318
"288","small",5302
"289","At",5297
"290","room",5297
"291","course",5293
"292","trying",5267
"293","working",5265
"294","makes",5235
"295","try",5222
"296","later",5207
"297","case",5194
"298","company",5167
"299","pretty",5161
"300","re",5148
"301","After",5118
"302","tell",5093
"303","business",5084
"304","someone",5079
"305","St",5078
"306","food",5076
"307","On",5070
"308","yet",5040
"309","police",5016
"310","kind",5011
"311","anything",5009
"312","Now",5001
"313","water",5000
"314","hope",4973
"315","fun",4971
"316","person",4971
"317","call",4940
"318","minutes",4931
"319","kids",4902
"320","myself",4893
"321","less",4883
"322","free",4868
"323","head",4868
"324","once",4868
"325","real",4861
"326","To",4860
"327","morning",4851
"328","along",4825
"329","bad",4787
"330","believe",4761
"331","live",4740
"332","months",4731
"333","asked",4728
"334","month",4706
"335","everything",4700
"336","change",4690
"337","group",4677
"338","name",4666
"339","early",4639
"340","often",4631
"341","County",4585
"342","several",4585
"343","side",4580
"344","become",4551
"345","post",4543
"346","five",4529
"347","open",4516
"348","everyone",4514
"349","others",4482
"350","fact",4468
"351","coming",4466
"352","All",4465
"353","City",4446
"354","care",4417
"355","His",4346
"356","American",4345
"357","government",4343
"358","How",4318
"359","Friday",4317
"360","full",4301
"361","probably",4300
"362","number",4299
"363","blog",4284
"364","students",4261
"365","seen",4259
"366","music",4250
"367","hours",4248
"368","almost",4244
"369","using",4229
"370","whole",4221
"371","nothing",4206
"372","comes",4192
"373","local",4186
"374","idea",4161
"375","weeks",4138
"376","plan",4119
"377","Just",4106
"378","support",4096
"379","win",4071
"380","saw",4049
"381","With",4047
"382","country",4045
"383","law",4041
"384","important",4040
"385","friend",4034
"386","State",4032
"387","half",4031
"388","Not",4025
"389","Then",4024
"390","couple",4023
"391","car",4009
"392","pay",4009
"393","line",4002
"394","hit",3988
"395","former",3965
"396","com",3964
"397","area",3949
"398","women",3937
"399","young",3933
"400","games",3926
"401","mind",3902
"402","John",3887
"403","taking",3865
"404","happy",3846
"405","quite",3815
"406","won",3801
"407","face",3789
"408","else",3755
"409","cut",3750
"410","information",3750
"411","move",3740
"412","RT",3727
"413","lost",3723
"414","May",3720
"415","according",3714
"416","heart",3713
"417","April",3705
"418","office",3702
"419","soon",3702
"420","Saturday",3685
"421","behind",3683
"422","stop",3671
"423","close",3651
"424","power",3622
"425","means",3616
"426","weekend",3613
"427","share",3605
"428","hand",3596
"429","talk",3593
"430","ll",3591
"431","program",3587
"432","system",3587
"433","seems",3585
"434","outside",3583
"435","knew",3565
"436","decided",3563
"437","mean",3559
"438","members",3557
"439","across",3545
"440","whether",3530
"441","experience",3526
"442","nice",3525
"443","felt",3518
"444","didn",3497
"445","Monday",3481
"446","given",3479
"447","York",3467
"448","late",3466
"449","large",3453
"450","leave",3438
"451","list",3419
"452","saying",3419
"453","playing",3407
"454","health",3403
"455","Some",3393
"456","community",3386
"457","white",3386
"458","taken",3380
"459","books",3376
"460","writing",3371
"461","news",3364
"462","deal",3363
"463","running",3356
"464","film",3351
"465","series",3349
"466","remember",3343
"467","needed",3340
"468","points",3335
"469","words",3320
"470","needs",3316
"471","Sunday",3298
"472","Thanks",3298
"473","order",3295
"474","rather",3295
"475","men",3293
"476","woman",3291
"477","gave",3287
"478","forward",3273
"479","problem",3263
"480","officials",3254
"481","reason",3252
"482","follow",3251
"483","turn",3233
"484","added",3228
"485","favorite",3226
"486","anyone",3225
"487","light",3223
"488","matter",3221
"489","Mr",3221
"490","bring",3215
"491","d",3213
"492","Well",3212
"493","future",3207
"494","child",3201
"495","front",3197
"496","Tuesday",3193
"497","six",3191
"498","easy",3190
"499","played",3189
"500","either",3186
"501","rest",3171
"502","movie",3161
"503","process",3156
"504","summer",3155
"505","body",3146
